title,author,category,rating,description,url
美漫：蝙蝠侠穿越蜘蛛侠,不是曹老板,轻小说,0.0,纽约，一个超级罪犯数量和犯罪率远超哥谭的城市。哥谭需要蝙蝠侠，纽约也同样需要。穿越纽约，没有金钱，没有装备，没有管家，只有一具陌生的身体。白手起家，一切从零开始。,https://m.qidian.com/book/1046090590/
仙侠版水浒,任鸟飞,历史,0.0,一不小心穿越到可以呼风唤雨、腾云驾雾、撒豆成兵的水浒世界。本想找个大冤种带我装逼带我飞，谁想，一个不慎，牛逼吹大发了，结果我成了那个大冤种。面对嫉贤妒能的王伦、喜欢火拼的晁盖和一心招安的宋江这三位水泊梁山真正的寨主，以及这个时期国内、国际错综复杂的形势，我该怎么办？在线等，急急急！！！本书是史上最正经的水浒，同时也是最合理的水浒，欢迎资深人士检阅！本书又名：《穿越到不会点法术神通都不好意思跟别人打,https://m.qidian.com/book/1038284172
河洛仙侠传,金铃动,仙侠,0.0,新书《这个师姐不讲道理》已发布，诸位战友请移步。河图洛书，人族文明起源，张九龄和夜未央于机缘巧合中获得河图洛书，重振人族文明之光。,https://m.qidian.com/book/1025475494
我的专属仙侠卡池,一朵闪光菇,仙侠,0.0,[卡牌]×[原创诸天]×[神话志怪]×[诡谲神秘]——【灰境已锚定！】【关键元素：中国古代、神话奇谭、民间志异……】【正在抽取卡池——“卖鹅翁”！】……天象异化，崩落的道果坠向人间，化为一处处灰境。鬼门洞开、旱魃焚天……此世之艰辛，难以言表，凡人如草芥蝼蚁，随时都有倾覆之危，唯有成为修仙者，方有超脱之机。可灵气被污，贸然修行者，必暴毙而亡，唯有拜入宗门、通过灰境的考验，方可开启修行之路。一梦醒来，,https://m.qidian.com/book/1048373786
仙侠世界的德鲁伊,薪火之王,仙侠,0.0,【种田+升级流+德鲁伊】你成为了德鲁伊，却转生在了 仙侠 世界。以为生错了时代的你，用【荒野变身·蛟龙】来感悟呼风唤雨，变身【世界树·建木】来修行【青帝长生经】。你用德鲁伊的【圣所】，来搭建自己的道场，你用【翡翠梦境】来构建自己的心象世界。最后，你栽种了世界树——你即世界树，世界……即你！,https://m.qidian.com/book/1043085683
我能进入仙侠世界,时明镜,仙侠,0.0,【两界穿梭+黑暗 仙侠 】现实世界，仙灵降临，神话复苏，异宝出世，震古烁今，各方争锋，纷乱不断！仙侠世界，风正急，月正高，骑瘦马，纵歌狂，且引月光作刀剑，荒丘古冢斩妖魔，天罡地煞掌造化，世间谓我谪仙人！姜尘自由穿梭两界，一步步创造属于自己的传说……,https://m.qidian.com/book/1033920234
武侠仙侠世界的厨神,熊猫胖大,仙侠,0.0,十八岁那年，凌池被可以穿梭时空的【厨神系统】附体。于是……“叮，征服东方不败的胃，获得顶级白色菜谱【十全大补汤】，体力＋100，精力＋50。”“叮，征服张无忌的胃，获得普通蓝色菜谱【乾坤烧鹅】，体质＋5。”“叮，征服杨过的胃，获得高级蓝色菜谱【黯然销魂饭】，力量＋10。”“叮，征服扫地僧的胃，获得顶级蓝色菜谱【佛跳墙】，寿命＋1。”凌池激动地全身发抖：“哥这是成仙得道的节奏啊！”*********,https://m.qidian.com/book/1014994484
盛世仙侠！,云上轻舟来,仙侠,0.0,天道、地道、人道，都是对大道的承载、阐释和表达，于维度并齐，都是掌伟力享长生于大道上的殊途同归。这是一个大道争锋，万舸争流的修行大世！陈清风穿越而至，御剑、斩妖、除魔、喝酒、显圣、抱美、继绝学、开太平……他随心而起，随心而至，随心所欲地践行着他的 仙侠 梦。,https://m.qidian.com/book/1042949529
赤侠,红烧大黑鱼,仙侠,0.0,“魏兄，你明明独自一人在此耕读，怎会做得如此一桌好菜？莫不是……草屋之中，藏有娇娥？”“啊？不是陈兄你每天派人送来的吗？”“有这回事儿？”“难道不是？”“或许是在下吩咐奴婢之后，把此事给忘了。”酒过三巡，出门送客，第二日，魏昊扛着农具假装前往田中，行路一半，返回家中，便见水缸中钻出一女子，施施然前往灶屋，生火做饭……“我怎么记得，那水缸之中，只是养了一只田螺？”……在下魏昊字大象，号“赤侠”，是个,https://m.qidian.com/book/1033154031
继承两万亿,侠想,都市,0.0,白小升，一个平凡打工族，继承了两万亿世界级大财团！按遗嘱，他要从底层做起，来一次职位升级之旅。解锁层层系统辅助功能，解锁海量资金，纵横集团下各行各业子公司，笑傲人生。“我来告诉你一个秘密，虽然我是员工，但其实，我是你老板！”,https://m.qidian.com/book/1009443828
幽冥仙途 : 最真实的仙侠世界,减肥专家,仙侠,8.2,减肥专家 / 鲜鲜文化事业有限公司 / 2007 / 160台币,https://book.douban.com/subject/2354896/
